2026-07-11 09:15:23 | T1001 | A10025 | TRANSFER | 850.00 | Brisbane | APPROVED
2026-07-12 09:00:00 | T1042 | A33333 | CARD_PAYMENT | 55.00 | Brisbane | DECLINED
2026-07-12 09:30:00 | T1043 | A33333 | TRANSFER | 70.00 | Brisbane | DECLINED
2026-07-11 09:15:23 | T1001 | A10025 | TRANSFER | 850.00 | Brisbane | APPROVED
2026/07/11 09:15:23 | T9999 | A10025 | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-11 09:15:23 | X1001 | A10025 | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-11 09:15:23 | T8888 | A123 | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-11 09:15:23 | T8887 | A10025 | INVALID_TYPE | 100.00 | Brisbane | APPROVED
2026-07-11 09:15:23 | T8886 | A10025 | TRANSFER | abc | Brisbane | APPROVED
2026-07-11 09:15:23 | T8885 | A10025 | TRANSFER | 0.00 | Brisbane | APPROVED
2026-07-11 09:15:23 | T8884 | A10025 | TRANSFER | -100.00 | Brisbane | APPROVED
2026-07-11 09:15:23 | T8883 | A10025 | TRANSFER | 100.00 | Brisbane | REJECTED
2026-07-11 09:15:23 | T8882 | A10025 | TRANSFER | 100.00
2026-07-11 09:15:23 | T8881 | A10025 | TRANSFER | 100.123 | Brisbane | APPROVED
2026-07-11 09:15:23 | T8880 | A10025 | TRANSFER | 100.00 |  | APPROVED
